sequence,mono_ns,account_index,stage,latency_ns
606,7339363117178359,0,signal_to_order_call,105977
607,7339363117184717,0,callback_to_state,4030
608,7339363117194501,0,callback_to_state,8820
609,7339363117194501,0,simulated_end_to_end,125222
610,7339363118070166,0,market_to_signal,170
611,7339363119070594,0,market_to_signal,51
612,7339363120070681,0,market_to_signal,39
613,7339363121074738,0,market_to_signal,278
614,7339363121184408,0,signal_to_order_call,107883
615,7339363121190981,0,callback_to_state,3970
616,7339363121200569,0,callback_to_state,8865
617,7339363121200569,0,simulated_end_to_end,132994
618,7339363122070368,0,market_to_signal,103
619,7339363123074428,0,market_to_signal,39
620,7339363124070450,0,market_to_signal,277
621,7339363124180043,0,signal_to_order_call,108630
622,7339363124185287,0,callback_to_state,3488
623,7339363124197418,0,callback_to_state,11397
624,7339363124197418,0,simulated_end_to_end,128888
625,7339363125069447,0,market_to_signal,123
626,7339363126072123,0,market_to_signal,2041
627,7339363126197322,0,signal_to_order_call,120356
628,7339363126213390,0,callback_to_state,13247
629,7339363126222421,0,callback_to_state,7838
630,7339363126222421,0,simulated_end_to_end,154032
631,7339363127070500,0,market_to_signal,167
632,7339363128070152,0,market_to_signal,57
633,7339363129073992,0,market_to_signal,39
634,7339363130051280,0,market_to_signal,358
635,7339363130161693,0,signal_to_order_call,109451
636,7339363130168482,0,callback_to_state,3928
637,7339363130171297,0,callback_to_state,2095
638,7339363130171297,0,simulated_end_to_end,122426
639,7339363131071286,0,market_to_signal,123
640,7339363132069730,0,market_to_signal,39
641,7339363133075981,0,market_to_signal,320
642,7339363133188083,0,signal_to_order_call,110214
643,7339363133193730,0,callback_to_state,3664
644,7339363133208262,0,callback_to_state,13575
645,7339363133208262,0,simulated_end_to_end,134249
646,7339363134071563,0,market_to_signal,98
647,7339363135070880,0,market_to_signal,333
648,7339363135188702,0,signal_to_order_call,107435
649,7339363135196873,0,callback_to_state,4412
650,7339363135209342,0,callback_to_state,11441
651,7339363135209342,0,simulated_end_to_end,140553
652,7339363136070244,0,market_to_signal,167
653,7339363137073328,0,market_to_signal,78
654,7339363138069527,0,market_to_signal,54
